venue_id,name
974,Rehoboth Concert Band
975,Grass Dale Center
976,Kurtz Collection
977,American Dance Academy
978,The Studios Upstairs
979,Grace Church
980,Chadds Ford Elementary School
981,Hockessin Book Shelf
982,Luigi's Pizza
983,Virden Retreat Center
985,Church of the Loving Shepherd
987,Catherine Rooney's Newark
988,Unitarian Universalists of Southern Delaware
989,Lincoln Community Center
990,Hockessin Community Recreation Center
991,Christiana Fire Company Memorial Hall
992,Kalmar Nyckel Foundation
993,DuPont Environmental Education Center
994,Brandywine Conservancy
995,"University of Delaware, The Green"
996,Dagsworthy Avenue
997,Dewey Business Partnership
998,Unitarian Universalist Society of Mill Creek
999,Marshall Steam Museum at Auburn Heights
1000,Bayside Chapel
1001,Presbyterian Church of Chestertown
1003,St. Stephen's Lutheran Church
1004,St. Paul's Evangelical Lutheran Church
1005,Cool Spring Park
1007,Penn's Place
1008,Pennsbury Historic Mill
1009,Studio 118 Gallery on Clinton
1010,East Brandywine Township
1011,"University of Delaware, Gore Hall, Room 103"
1012,Wicomico Youth & Civic Center
1013,Milford Public Library Ampitheater
1016,Downtown Seaford
1017,Head of Christiana Presbyterian Church
1018,Back Porch Cafe
1019,Hercules Building Plaza
1020,Jewels of the Orient Bellydance & Wellness Festival
1021,ACLU of Delaware
1022,"Cadbury at Lewes, 2nd Floor Auditiorium"
1024,The Media Theatre for the Performing Arts
1025,Claymont Stone School
1026,New Castle Presbyterian Church
1027,Bethany Beach Volunteer Fire Company
1028,Town of Smyrna
1029,Sussex Family YMCA
1031,World Cafe Live Philadelphia
1032,Bayside Resort Golf Club
1034,Glasgow Park
1037,Delaware Seashore State Park
1038,"Campgound Ampitheater, Killens Pond State Park"
1039,Georgetown Chamber of Commerce
1040,Talleyville Frame Shoppe & Gallery
1042,Sweet Serenity Chocolates
1044,IndoAmerican Association Of Delaware
1045,Father Tucker Memorial Park
1046,CHEER Center - Millsboro
1047,Kennett Flash
1048,Odessa Fieldstone Stable
1049,Kids Cottage
1050,"Lewes, Delaware"
1051,Sue Ellen Thompson
